umpire,country
Subroto Das,India
HDPK Dharmasena,Sri Lanka
KN Ananthapadmanabhan,India
M Erasmus,South Africa
S Das,India
CB Gaffaney,New Zealand
BG Jerling,South Africa
Nitin Menon,India
YC Barde,India
AM Saheba,India
SS Hazare,India
C Shamshuddin,India
SL Shastri,India
JD Cloete,South Africa
VK Sharma,India
GAV Baxter,New Zealand
AK Chaudhary,India
PG Pathak,India
AV Jayaprakash,India
SJA Taufel,Australia
MR Benson,England
Aleem Dar,Pakistan
CK Nandan,India
BNJ Oxenford,Australia
GA Pratapkumar,India
DJ Harper,Australia
AL Hill,New Zealand
RM Deshpande,India
NJ Llong,England
A Deshmukh,India
AY Dandekar,India
S Ravi,India
RE Koertzen,South Africa
BF Bowden,New Zealand
K Hariharan,India
K Srinivasan,India
SD Ranade,India
PR Reiffel,Australia
I Shivram,India
IL Howell,South Africa
Asad Rauf,Pakistan
K Srinath,India
SK Tarapore,India
SJ Davis,Australia
TH Wijewardene,Sri Lanka
A Nand Kishore,India
RK Illingworth,England
S Asnani,India
VA Kulkarni,India
BR Doctrove,West Indies
RB Tiffin,Zimbabwe
RJ Tucker,Australia
K Bharatan,India
SD Fry,Australia
